;Código do produto;Produto;Valor de compra sem impostos
0;1;Iluminismo Financeiro 2.1;74866.59
1;2;yampa - software financeiro da 4blue;64773.0
2;16;Gestão Financeira Lucrativa 3.0;42689.0
3;15;Gestão Financeira Lucrativa 1.0;41623.7
4;13;Curso de Precificação para Produtos e Serviços;16803.16
5;11;Curso de Controle Financeiro e Fluxo de Caixa;8009.0
6;14;Iluminismo Financeiro 2.0;5000.0
7;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;1595.0
8;3;Maratona de Finanças - Experiência VIP;1537.0400000000027
9;5;Gestão Financeira Lucrativa 2.0;1083.33
10;10;Formação em Gestão Financeira Online;1070.0
11;20;14 Técnicas para Vender Mais 2.0;914.0
12;17;Precificação para Serviços;785.0
13;4;Precificação para Produtos;628.0
14;25;Curso de Produtividade e Gestão do Tempo para Empreendedores;608.0
15;21;Curso de Gestão e Planejamento Estratégico (FGE);550.0
16;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;518.0
17;18;Ferramenta de Precificação Turbinada para Produtos e Serviços;500.0
18;28;Como Criar uma Consultoria de Sucesso;450.0
19;27;Ferramenta: Turbinador de Lucros!;425.0
20;23;Curso de Separação das Finanças;314.0
21;19;Ferramenta de Contas a Pagar ;35.5
22;12;Ferramenta de Ponto de Equilíbrio ;35.5
23;22;Ferramenta de Finanças Pessoais - Básico;31.0
24;24;Yampa - Sistema de Controle Financeiro para Pequenas Empresas;5.0
