;Código do produto;Produto;Valor de compra sem impostos
0;1;Iluminismo Financeiro 2.1;4154.1
1;2;yampa - software financeiro da 4blue;45.5
6;2;yampa - software financeiro da 4blue;45.5
7;2;yampa - software financeiro da 4blue;450.0
9;3;Maratona de Finanças - Experiência VIP;15.7
10;2;yampa - software financeiro da 4blue;45.5
12;2;yampa - software financeiro da 4blue;45.5
13;2;yampa - software financeiro da 4blue;45.5
15;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;57.0
16;2;yampa - software financeiro da 4blue;45.5
17;2;yampa - software financeiro da 4blue;45.5
21;3;Maratona de Finanças - Experiência VIP;15.7
26;3;Maratona de Finanças - Experiência VIP;15.7
27;2;yampa - software financeiro da 4blue;45.5
28;3;Maratona de Finanças - Experiência VIP;15.7
31;2;yampa - software financeiro da 4blue;45.5
32;2;yampa - software financeiro da 4blue;45.5
38;2;yampa - software financeiro da 4blue;45.5
39;2;yampa - software financeiro da 4blue;45.5
40;2;yampa - software financeiro da 4blue;1.0
41;2;yampa - software financeiro da 4blue;45.5
43;2;yampa - software financeiro da 4blue;45.5
44;2;yampa - software financeiro da 4blue;45.5
45;2;yampa - software financeiro da 4blue;45.5
49;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;145.0
54;2;yampa - software financeiro da 4blue;1.0
56;2;yampa - software financeiro da 4blue;35.5
59;2;yampa - software financeiro da 4blue;45.5
60;2;yampa - software financeiro da 4blue;145.0
64;2;yampa - software financeiro da 4blue;45.5
66;2;yampa - software financeiro da 4blue;45.5
68;2;yampa - software financeiro da 4blue;45.5
69;2;yampa - software financeiro da 4blue;45.5
70;3;Maratona de Finanças - Experiência VIP;15.7
71;2;yampa - software financeiro da 4blue;45.5
72;2;yampa - software financeiro da 4blue;45.5
74;2;yampa - software financeiro da 4blue;45.5
76;2;yampa - software financeiro da 4blue;145.0
77;2;yampa - software financeiro da 4blue;45.5
78;2;yampa - software financeiro da 4blue;45.5
81;2;yampa - software financeiro da 4blue;45.5
86;3;Maratona de Finanças - Experiência VIP;15.7
89;3;Maratona de Finanças - Experiência VIP;15.7
91;3;Maratona de Finanças - Experiência VIP;15.7
94;1;Iluminismo Financeiro 2.1;4154.1
95;3;Maratona de Finanças - Experiência VIP;15.7
96;2;yampa - software financeiro da 4blue;45.5
100;2;yampa - software financeiro da 4blue;45.5
107;2;yampa - software financeiro da 4blue;45.5
108;2;yampa - software financeiro da 4blue;145.0
110;3;Maratona de Finanças - Experiência VIP;15.7
112;3;Maratona de Finanças - Experiência VIP;15.7
114;3;Maratona de Finanças - Experiência VIP;15.7
115;3;Maratona de Finanças - Experiência VIP;15.7
116;3;Maratona de Finanças - Experiência VIP;15.7
117;10;Formação em Gestão Financeira Online;535.0
118;11;Curso de Controle Financeiro e Fluxo de Caixa;155.0
120;12;Ferramenta de Ponto de Equilíbrio ;35.5
121;13;Curso de Precificação para Produtos e Serviços;357.0
124;2;yampa - software financeiro da 4blue;45.5
125;2;yampa - software financeiro da 4blue;45.5
127;1;Iluminismo Financeiro 2.1;445.0
128;2;yampa - software financeiro da 4blue;45.5
129;13;Curso de Precificação para Produtos e Serviços;357.0
130;2;yampa - software financeiro da 4blue;45.5
131;2;yampa - software financeiro da 4blue;45.5
134;2;yampa - software financeiro da 4blue;45.5
135;2;yampa - software financeiro da 4blue;45.5
137;2;yampa - software financeiro da 4blue;45.5
138;2;yampa - software financeiro da 4blue;45.5
139;2;yampa - software financeiro da 4blue;45.5
140;2;yampa - software financeiro da 4blue;45.5
143;2;yampa - software financeiro da 4blue;45.5
146;2;yampa - software financeiro da 4blue;45.5
147;2;yampa - software financeiro da 4blue;45.5
148;2;yampa - software financeiro da 4blue;45.5
152;2;yampa - software financeiro da 4blue;45.5
155;2;yampa - software financeiro da 4blue;45.5
156;2;yampa - software financeiro da 4blue;45.5
158;2;yampa - software financeiro da 4blue;45.5
159;14;Iluminismo Financeiro 2.0;300.0
160;3;Maratona de Finanças - Experiência VIP;15.7
161;2;yampa - software financeiro da 4blue;45.5
162;14;Iluminismo Financeiro 2.0;555.0
163;2;yampa - software financeiro da 4blue;45.5
